139 ,LOF,LOF 洛克西德公司 L-188 ELECTRA （货机）  ,1
140 ,LOH,LOH 70-84 洛克西德公司 L-100 HERCULES 大力士  ,1
141 ,LOM,LOM 5--10 洛克西德公司 L-188 MIXED CONFIG （混合机）  ,1
142 ,LRJ,LRJ LEARJET ALL SERIES  ,1
143 ,L1F,L1F 214-363 洛克西德公司 L-1011 三星 货机  ,1
144 ,L10,L10 252-363 洛克西德公司 L-1011 三星 客机  ,1
145 ,L11,L11 214-280 洛克西德公司 L-1011 三星 1/50/100/150/200  ,1
146 ,L15,L15 13-19 洛克西德公司 L-1011 三星 500 客机  ,1
147 ,L4T,L4T 湾流公司410  ,1
148 ,L49,L49 5-N/A 洛克西德公司L749/L1049超级星座  ,1
149 ,MBH,MBH 欧洲考佩特公司（MBB) BO 105  ,1
150 ,MD9,MD9 11-32 麦道MD90 探险者  ,1
151 ,MIH,MIH 4--10 MIL MI-8  ,1
152 ,MU2,MU2 三菱 MU-2  ,1
153 ,M1F,M1F 210-323 波音（道格拉斯） MD-11 货机  ,1
154 ,M1M,M1M 243-409 波音（道格拉斯） MD-11 混合机  ,1
155 ,M11,M11 112-172 波音（道格拉斯） MD-11 客机  ,1
156 ,M80,M80 125-165 波音（道格拉斯） MD-80 ALL SERIES  ,1
157 ,M81,M81 132-165 波音（道格拉斯） MD-81  ,1
158 ,M82,M82 131-165 波音（道格拉斯） MD-82  ,1
159 ,M83,M83 109-134 波音（道格拉斯） MD-83  ,1
160 ,M87,M87 112-142 波音（道格拉斯） MD-87  ,1
161 ,M88,M88 150-187 波音（道格拉斯） MD-88  ,1
162 ,M90,M90 14-N/A 波音（道格拉斯） MD-90  ,1
163 ,NDC,NDC 6-N/A 法国宇航公司 SN601 CORVETTE  ,1
164 ,NDE,NDE 9--14 欧洲考佩特公司 AS350/355 ECUREUIL  ,1
165 ,NDH,NDH 26-28 欧洲考佩特公司 SA 365 DAUPHIN 2  ,1
166 ,ND2,ND2 5--9 法国宇航公司 N 262/MOHAWK 298  ,1
167 ,PAG,PAG N/A-7 派帕公司（轻型飞机）  ,1
168 ,PAT,PAT 派帕公司（轻型－双涡轮螺旋桨式飞机）  ,1
169 ,PL2,PL2 7--10 派拉特斯 PC-12  ,1
170 ,PL6,PL6 7-N/A 派拉特斯 PC-6 TURBO-PORTER  ,1
171 ,PN6,PN6 30-36 派特维纳公司 P.68 VICTOR  ,1
172 ,SF3,SF3 萨伯公司 340  ,1
173 ,SHB,SHB 18-19 肖特公司 SC.5 贝尔法斯特  ,1
174 ,SHS,SHS 30-N/A 肖特公司 SKYVAN （SC-7)  ,1
175 ,SH3,SH3 30-36 肖特公司 330 (SD3-30)  ,1
176 ,SH6,SH6 12--19 肖特公司 360 (SD3-60)  ,1
177 ,SWM,SWM 50-58 仙童(SWEARINGEN) 美琳/美多  ,1
178 ,S20,S20 7--16 萨伯 2000  ,1
179 ,S58,S58 23-30 SIKORSKY S-58T  ,1
180 ,S61,S61 12--13 SIKORSKY S-61  ,1
181 ,S76,S76 64-84 SIKORSKY S-76  ,1
182 ,TU3,TU3 143-180 图波列夫设计集团 TU-134  ,1
183 ,TU5,TU5 164-210 图波列夫设计集团 TU-154  ,1
184 ,T20,T20 69-74 图波列夫设计集团 TU-204/214  ,1
185 ,VCV,VCV 9-N/A 英国宇航公司（维克斯）维斯康特  ,1
186 ,WWP,WWP 100-120 以色列飞机制造公司1124 西风  ,1
187 ,YK2,YK2 20-40 雅可列夫设计局 YAK-42  ,1
188 ,YK4,YK4 17-N/A 雅可列夫设计局 YAK-40  ,1
189 ,YN2,YN2 48-N/A 哈尔滨飞机制造厂 运12  ,3
190 ,YN7,YN7 38-64 西安飞机工业公司 运Y7/MA60  ,1
191 ,YS1,YS1 85-109 纳姆公司YS-11  ,1
192 ,100,100 福克公司 100,1
193 ,14F,14F 75-88 英国宇航公司 146 货机  ,1
194 ,141,141 88-94 英国宇航公司 146-100 客机  ,1
195 ,142,142 93-112 英国宇航公司 146-200 客机  ,1
196 ,143,143 75-112 英国宇航公司 146-300 客机  ,1
197 ,146,146 167-246 英国宇航公司 146 客机  ,1
198 ,310,310 169-246 空中客车公司 310 客机  ,1
199 ,312,312 167-222 空中客车公司 A310-200 客机  ,1
200 ,313,313 107-117 空中客车公司 A310-300 客机  ,1
201 ,318,318 112-134 空中客车公司 A318  ,1
202 ,319,319 107-220 空中客车公司 A319  ,1
203 ,32S,32S 123-180 空中客车公司 A318/A319/A320/A321  ,1
204 ,320,320 174-220 空中客车公司 A320  ,1
205 ,321,321 256-412 空中客车公司 A321,1
206 ,330,330 256-412 空中客车公司 A330  ,1
207 ,332,332 256-412 空中客车公司 A330-200  ,1
208 ,333,333 228-420 空中客车公司 A330-300  ,1
209 ,340,340 228-335 空中客车公司 A340  ,1
210 ,342,342 253-420 空中客车公司 A340-200  ,1
211 ,343,343 313-359 空中客车公司 A340-300  ,1
212 ,345,345 380-419 空中客车公司 A340-500  ,1
213 ,346,346 空中客车公司 A340-600  ,1
214 ,38F,38F 480-656 空中客车公司 A380－800F 货机  ,1
215 ,380,380 空中客车公司 A380-800 客机  ,1
216 ,70F,70F 波音公司 707 （货机）  ,1
217 ,70M,70M 150-160 波音公司 707 （混合机）  ,1
218 ,703,703 130-219 波音公司 707-320/320B/320C/330B （客机）  ,1
219 ,707,707 106-123 波音公司 707/720B 客机  ,1
220 ,717,717 126-164 波音公司 717－200  ,1
221 ,72A,72A 波音公司 727-200 改良型  ,1
222 ,72F,72F 78-129 波音公司 727 （货机）  ,1
223 ,72M,72M 126-189 波音公司 727-100 （混合机）  ,1
224 ,72S,72S 92-119 波音公司 727-200/200 （客机）  ,1
225 ,721,721 145-167 波音公司 727-100 (客机）  ,1
226 ,722,722 92-189 波音公司 727-200 客机  ,1
227 ,727,727 109-148 波音公司 727-100/200/200 （客机）  ,1
228 ,73A,73A 波音公司 737-200 改良型 （客机）  ,1
229 ,73F,73F 126-149 波音公司 737-200/300 货机  ,1
230 ,73G,73G 162-189 波音公司 737-700 客机  ,1
231 ,73H,73H 69-79 波音公司 737-800（小翼）客机  ,1
232 ,73M,73M 100-130 波音公司 737-200 （混合机）  ,1
233 ,73S,73S 126-149 波音公司 737-200/200 改良型各系列  ,1
234 ,73W,73W 波音公司 737-700（小翼）客机  ,1
235 ,73X,73X 波音公司 737-200 货机  ,1
236 ,73Y,73Y 92-114 波音公司 737-300 货机  ,1
237 ,731,731 106-189 波音公司 737-100 客机  ,1
238 ,732,732 102-145 波音公司 737-200 客机  ,1
239 ,733,733 144-171 波音公司 737-300 客机  ,1
240 ,734,734 104-132 波音公司 737-400 客机  ,1
241 ,735,735 110-119 波音公司 737-500 客机  ,1
242 ,736,736 104-189 波音公司 737-600 客机  ,1
243 ,737,737 162-189 波音公司 737 客机  ,1
244 ,738,738 177-189 波音公司 737-800 客机  ,1
245 ,739,739 270-N/A 波音公司 737-900 客机  ,1
246 ,74C,74C 250-304 波音公司 747-200 （混合机）  ,1
247 ,74D,74D 287-420 波音公司 747-300 （混合机）  ,1
248 ,74E,74E 波音公司 747-400 （混合机）  ,1
249 ,74F,74F 244-440 波音公司 747-100/200/400 货机  ,1
250 ,74L,74L 238-400 波音公司 747SP 客机  ,1
251 ,74M,74M 374-563 波音公司 747-200/300/400 混合机  ,1
252 ,74R,74R 波音公司 747SR 客机  ,1
253 ,74X,74X 波音公司 747-100F/200 货机  ,1
254 ,74Y,74Y 393-433 波音公司 747-400 货机  ,1
255 ,741,741 351-493 波音公司 747-100 客机  ,1
256 ,742,742 375-428 波音公司 747-200 客机  ,1
257 ,743,743 362-569 波音公司 747-300 客机  ,1
258 ,744,744 244-569 波音公司 747-400 客机  ,1
259 ,747,747 波音公司 747 客机  ,1
260 ,75F,75F 148-239 波音公司 757 货机  ,1
261 ,752,752 波音公司 757-200 客机  ,1
262 ,753,753 148-239 波音公司 757-300 客机  ,1
263 ,757,757 波音公司 757-200/300 客机  ,1
264 ,76F,76F 161-234 波音公司 767 货机  ,1
265 ,762,762 203-290 波音公司 767-200/200ER 客机  ,1
266 ,763,763 波音公司 767-300/300ER 客机  ,1
267 ,764,764 161-290 波音公司 767-400 客机  ,1
268 ,767,767 281-440 波音公司 767-200/300 客机  ,1
269 ,772,772 波音公司 777-200 客机  ,1
270 ,773,773 281-440 波音公司 777-300 客机  ,1
271 ,777,777 9--60 波音公司 777-200/300 客机,1
272 ,ABF,ABF 空中客车公司 A300 货机,1
273 ,MA6,NULL,3
274 ,E90,E90是ERJ190 ERJ190是巴西航空工业公司研发的新一代喷气客机，可以设置98至114个座位。客舱座位宽度达到18.25英寸，前后排座位间距为31英寸。,1
275 ,EM4,EM4,3
